filename,year,title,journal,doi,pmid,has_fulltext,study_type,study_type_all,topics,interventions,organism_focus,n_topics
Hetta_2025,2025,Taming Superbugs: Current Progress and Challenges in Combating ESKAPE Pathogens.,"Pathogens (Basel, Switzerland)",10.3390/pathogens15010028,41599011,yes,review,review|animal_model|omics|clinical|in_silico|methodology|in_vitro,qsi_discovery|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|phage_therapy|nanoparticle|vaccine_immune|second_messenger|iron_metabolism|review_synthesis,phage|nanoparticle|antibody_vaccine,multi_species,12
Masoomi_2025,2025,Salvia abrotanoides leaves and flowers essential oils inhibit the quorum-sensing system of extensively drug-resistant (XDR) Acinetobacter baumannii.,Microbial pathogenesis,10.1016/j.micpath.2025.108256,41422868,abstract_only,in_silico,in_silico|in_vitro,qsi_discovery|abaI_abaR_axis|antibiotic_resistance|natural_product,natural_product,a_baumannii_only,4
Arazi_2025,2025,Genomic and functional characterization of a novel lytic phage vB-AbaM-fThrA with anti-biofilm activity against CR-MDR Acinetobacter baumannii.,BMC microbiology,10.1186/s12866-025-04525-z,41420149,yes,omics,omics|clinical|methodology|in_vitro,abaI_abaR_axis|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|phage_therapy|epidemiology,phage,a_baumannii_only,7
Nosair_2025,2025,"Deciphering the efficacy of staphyloxanthin-encapsulated niosomal nanovesicles to attenuate biofilm formation, quorum sensing, and meropenem persistence in Acinetobacter baumannii.",BMC microbiology,10.1186/s12866-025-04507-1,41390371,yes,animal_model,animal_model|clinical|in_silico|methodology|in_vitro,qsi_discovery|quorum_quenching|abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|nanoparticle|natural_product|iron_metabolism,natural_product|nanoparticle,multi_species,10
Vinitha_2025,2025,"Acinetobacter baumannii-rare virulence factors and pathogenesis: the impact of biofilm associated protein (Bap), outer membrane vesicles, and iron acquisition system.",Archives of microbiology,10.1007/s00203-025-04623-6,41379337,abstract_only,review,review,biofilm|virulence_factors|iron_metabolism|review_synthesis,,a_baumannii_only,4
deVilliersdelaNoue_2025,2025,Rational Design of a Potent Two-Phage Cocktail Against a Contemporary Acinetobacter baumannii Strain Recovered from a Burned Patient at the Lausanne University Hospital.,Viruses,10.3390/v17111441,41305464,yes,animal_model,animal_model|omics|in_vitro,virulence_factors|antibiotic_resistance|gene_regulation|phage_therapy|epidemiology,phage,multi_species,5
Qadir_2025,2025,Antibacterial and antibiofilm activities of bioactive metabolites from Salmonella typhi against multidrug-resistant pathogens.,Bioorganic chemistry,10.1016/j.bioorg.2025.109226,41218264,abstract_only,in_vitro,in_vitro,biofilm|antibiotic_resistance|natural_product,,multi_species,3
VeraJauregui_2025,2025,A Newly Discovered Obolenskvirus Phage with Sustained Lytic Activity Against Multidrug-Resistant Acinetobacter baumannii.,"Antibiotics (Basel, Switzerland)",10.3390/antibiotics14100961,41148653,yes,omics,omics|clinical|in_silico|methodology|in_vitro,virulence_factors|antibiotic_resistance|gene_regulation|phage_therapy,phage,multi_species,4
Wei_2025,2025,Harnessing Plant Essential Oils to Combat Acinetobacter baumannii: Research Progress in Antimicrobial Mechanisms and Therapeutic Prospects.,Current microbiology,10.1007/s00284-025-04533-2,41102536,abstract_only,review,review,biofilm|antibiotic_resistance|natural_product|review_synthesis,natural_product,a_baumannii_only,4
DzibBaak_2025,2025,Mechanistic Insights Into the Effect of the Essential Oil of Ambrosia hispida Pursh. Against Multidrug-Resistant Clinical Isolates of Acinetobacter baumannii.,Chemistry & biodiversity,10.1002/cbdv.202502050,41084179,abstract_only,in_silico,in_silico|in_vitro,qsi_discovery|biofilm|antibiotic_resistance|natural_product,natural_product,a_baumannii_only,4
Santajit_2025,2025,Phytochemical inhibition of quorum sensing and biofilm formation by Paederia foetida Linn. against multidrug-resistant Acinetobacter baumannii: An integrated in vitro and in silico investigation.,Veterinary world,10.14202/vetworld.2025.2181-2193,41064837,yes,animal_model,animal_model|in_silico|in_vitro,qsi_discovery|abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|natural_product|polymicrobial|epidemiology,natural_product,multi_species,10
Nghiem_2025,2025,"Dominance of high-risk clones ST2 and ST571 and the diversity of resistance islands in clinical Acinetobacter baumannii isolates from Hanoi, Vietnam.",Microbial genomics,10.1099/mgen.0.001500,40961326,yes,omics,omics|clinical|in_silico|methodology|in_vitro,abaI_abaR_axis|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|epidemiology,,a_baumannii_only,6
Elshamy_2025,2025,Genomic analysis and preclinical evaluation of two hydrogel-formulated novel virulent phages isolated against a carbapenem-resistant Acinetobacter baumannii.,Virology,10.1016/j.virol.2025.110676,40916327,abstract_only,in_vitro,in_vitro,antibiotic_resistance|epidemiology,phage,a_baumannii_only,2
Sorenson_2025,2025,Biofilm Formation and the Role of Efflux Pumps in ESKAPE Pathogens.,Microorganisms,10.3390/microorganisms13081816,40871320,yes,review,review|omics|clinical|in_vitro,qsi_discovery|quorum_quenching|abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|natural_product|peptide_amp|review_synthesis,natural_product|peptide,multi_species,11
Essam_2025,2025,"Isolation and characterization of phages ΦZC2 and ΦZC3 against carbapenem-resistant Acinetobacter baumannii, and efficacy of ΦZC3 on A549 cells.",Virology journal,10.1186/s12985-025-02885-6,40739242,yes,omics,omics|clinical|methodology|in_vitro,biofilm|virulence_factors|antibiotic_resistance|phage_therapy,phage,multi_species,4
DudaMadej_2025,2025,Exploring the Role of Berberine as a Molecular Disruptor in Antimicrobial Strategies.,"Pharmaceuticals (Basel, Switzerland)",10.3390/ph18070947,40732238,yes,review,review|animal_model|omics|in_silico|in_vitro,qsi_discovery|quorum_quenching|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|nanoparticle|natural_product|epidemiology|review_synthesis,natural_product|synthetic_compound|nanoparticle|enzyme_qq,multi_species,10
MajidiFard_2025,2025,Investigation of Peppermint (Mentha piperita) Extract on the Inhibition of Biofilm Formation by Acinetobacter baumannii Strains Isolated from Clinical Samples.,Iranian journal of pharmaceutical research : IJPR,10.5812/ijpr-160772,40718444,yes,clinical,clinical|in_vitro,abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|natural_product,natural_product,multi_species,6
Ghavanloughajar_2025,2025,Human whole blood influences the expression of Acinetobacter baumannii genes related to translation and siderophore production.,PloS one,10.1371/journal.pone.0326330,40705813,yes,animal_model,animal_model|omics|clinical|methodology|in_vitro,quorum_quenching|abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|vaccine_immune|iron_metabolism,enzyme_qq|antibody_vaccine,multi_species,9
Wiradiputra_2025,2025,Genomic insights into biofilm-associated virulence in extensively drug-resistant Acinetobacter baumannii.,Current research in microbial sciences,10.1016/j.crmicr.2025.100434,40686839,yes,omics,omics|clinical|in_silico|methodology|in_vitro,abaI_abaR_axis|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|epidemiology,,multi_species,6
Cui_2025,2025,Carnosol attenuates Acinetobacter baumannii virulence by interfering with indole-mediated quorum sensing.,Virulence,10.1080/21505594.2025.2530169,40660701,yes,animal_model,animal_model|omics|in_silico|methodology|in_vitro,qsi_discovery|abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|natural_product|peptide_amp|epidemiology,natural_product|peptide,multi_species,10
Lebreton_2025,2025,High genetic relatedness between multidrug resistant bacteria before and after the 2022 invasion of Ukraine.,Genome medicine,10.1186/s13073-025-01500-1,40598567,yes,omics,omics|in_vitro,antibiotic_resistance|vaccine_immune|epidemiology,,multi_species,3
Azimi_2025,2025,Virulent genes related to the synthesis of community interaction factors among clinical samples of multidrug-resistant Acinetobacter baumannii in Iran.,GMS hygiene and infection control,10.3205/dgkh000552,40529473,yes,methodology,methodology|in_vitro,abaI_abaR_axis|biofilm|virulence_factors|antibiotic_resistance|vaccine_immune|epidemiology,,multi_species,6
YuCheng_2025,2025,Storage stability prediction of spray dried Anti-Acinetobacter baumannii phage and phage cocktail powders.,International journal of pharmaceutics,10.1016/j.ijpharm.2025.125842,40513689,abstract_only,other,,antibiotic_resistance|phage_therapy,phage,a_baumannii_only,2
Cui_2025_2,2025,Signaling in Acinetobacter baumannii: Quorum sensing and nucleotide second messengers.,Computational and structural biotechnology journal,10.1016/j.csbj.2025.05.032,40510767,yes,review,review|omics|in_silico|in_vitro,qsi_discovery|quorum_quenching|abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|natural_product|peptide_amp|second_messenger|review_synthesis,natural_product|synthetic_compound|peptide|enzyme_qq,multi_species,11
Chanchaithong_2025,2025,Localization of AbaR4-type genomic islands and multidrug resistance plasmids in multiple Acinetobacter baumannii clones and Acinetobacter pittii from infections of dogs and cats.,"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases",10.1016/j.meegid.2025.105782,40490126,abstract_only,omics,omics,abaI_abaR_axis|antibiotic_resistance|epidemiology,phage,a_baumannii_only,3
Carpenito_2025,2025,LC-MS/MS Determination of Quorum Sensing Molecules in Plasma from Burn Patients with Septic Shock Sustained by Acinetobacter Baumannii.,"Antibiotics (Basel, Switzerland)",10.3390/antibiotics14050517,40426583,yes,methodology,methodology|in_vitro,ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance,,multi_species,4
Wheeler_2025,2025,MvfR Shapes Pseudomonas aeruginosa Interactions in Polymicrobial Contexts: Implications for Targeted Quorum-Sensing Inhibition.,Cells,10.3390/cells14100744,40422247,yes,methodology,methodology|in_vitro,qsi_discovery|ahl_chemistry|biofilm|virulence_factors|gene_regulation|polymicrobial,synthetic_compound,multi_species,6
Alagesan_2025,2025,Targeting TetR-family transcription regulators for combating tetracycline resistance in resilient Acinetobacter baumannii: in silico identification of potent inhibitors.,Journal of biomolecular structure & dynamics,10.1080/07391102.2025.2507812,40420564,abstract_only,in_silico,in_silico|in_vitro,biofilm|antibiotic_resistance|gene_regulation,,a_baumannii_only,3
Xie_2025,2025,"Contribution of RND superfamily multidrug efflux pumps AdeABC, AdeFGH, and AdeIJK to antimicrobial resistance and virulence factors in multidrug-resistant Acinetobacter baumannii AYE.",Antimicrobial agents and chemotherapy,10.1128/aac.01858-24,40407309,yes,animal_model,animal_model|omics|in_vitro,qsi_discovery|abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|epidemiology,,multi_species,8
Tolah_2025,2025,Genome of a Carbapenem Resistant Acinetobacter baumannii Isolate of a new Sequence Type ST1724 from Saudi Arabia.,Clinical laboratory,10.7754/Clin.Lab.2024.240926,40387740,abstract_only,in_vitro,in_vitro,biofilm|virulence_factors|antibiotic_resistance|gene_regulation|epidemiology,,a_baumannii_only,5
Khafagy_2025,2025,"Repurposing Nitroimidazoles: A New Frontier in Combatting Bacterial Virulence and Quorum Sensing via In Silico, In Vitro, and In Vivo Insights.",Drug development research,10.1002/ddr.70101,40384051,abstract_only,animal_model,animal_model|in_silico|in_vitro,qsi_discovery|biofilm|antibiotic_resistance|drug_repurposing,repurposed_drug,multi_species,4
Li_2025,2025,Indole derivatives display antimicrobial and antibiofilm effects against extensively drug-resistant Acinetobacter baumannii.,Microbiology spectrum,10.1128/spectrum.03388-24,40231681,yes,animal_model,animal_model|in_vitro,abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|natural_product|epidemiology,synthetic_compound,multi_species,7
Jiang_2025,2025,Terramide A: a novel ironophore targeting Acinetobacter baumannii with mechanistic insights into bacterial iron deprivation.,The Journal of antibiotics,10.1038/s41429-025-00816-9,40164737,abstract_only,in_vitro,in_vitro,ahl_chemistry|biofilm|virulence_factors|iron_metabolism,,multi_species,4
