filename,pmcid,status
Hetta_2025,PMC12845504,xml_ok
Arazi_2025,PMC12859838,pdf_download_err:HTTPError; xml_ok
Nosair_2025,PMC12701606,xml_ok
deVilliersdelaNoue_2025,PMC12656882,xml_ok
VeraJauregui_2025,PMC12561047,xml_ok
Santajit_2025,PMC12501579,xml_ok
Nghiem_2025,PMC12444785,xml_ok
Sorenson_2025,PMC12388334,xml_ok
Essam_2025,PMC12308983,xml_ok
DudaMadej_2025,PMC12299710,xml_ok
MajidiFard_2025,PMC12297010,xml_ok
Ghavanloughajar_2025,PMC12289009,xml_ok
Wiradiputra_2025,PMC12272471,pdf_download_err:HTTPError; xml_ok
Cui_2025,PMC12269709,pdf_download_err:HTTPError; xml_ok
Lebreton_2025,PMC12220160,xml_ok
Azimi_2025,PMC12172066,xml_ok
Cui_2025_2,PMC12162036,pdf_download_err:HTTPError; xml_ok
Carpenito_2025,PMC12108150,xml_ok
Wheeler_2025,PMC12109783,xml_ok
Xie_2025,PMC12217454,xml_ok
Li_2025,PMC12073863,xml_ok
Krishnan_2025,PMC11920071,xml_ok
Su_2025,PMC11889872,pdf_download_err:HTTPError; xml_ok
Beasley_2025,PMC11785035,pdf_download_err:HTTPError; xml_ok
Zhang_2025,PMC11731405,xml_ok
Sharma_2025,PMC11724464,pdf_download_err:HTTPError; xml_ok
Liu_2024,PMC11699857,pdf_download_err:HTTPError; xml_ok
Rothong_2024,PMC11674141,xml_ok
Benyamini_2024,PMC11432228,xml_ok
Yao_2024,PMC11428969,xml_ok
Tuffet_2024,PMC11441513,pdf_download_err:HTTPError; xml_ok
Pumirat_2024,PMC11401864,pdf_download_err:HTTPError; xml_ok
Dong_2024,PMC11383728,pdf_download_err:HTTPError; xml_ok
Harkova_2024,PMC11410210,xml_ok
Escalante_2024,PMC11333713,pdf_download_err:HTTPError; xml_ok
Li_2024,PMC11283397,xml_ok
Escalante_2024_2,PMC11160873,xml_ok
Guo_2024,PMC11134903,pdf_download_err:HTTPError; xml_ok
Gonzales_2024,PMC11110857,xml_ok
Rajangam_2024,PMC11290764,OA_unavailable:idIsNotOpenAccess; xml_ok
Elfaky_2024,PMC10981156,pdf_download_err:HTTPError; xml_ok
Lu_2024,PMC10965436,pdf_download_err:HTTPError; xml_ok
Jiang_2024_2,PMC10958429,xml_ok
Correa_2024,PMC11014353,pdf_download_err:HTTPError; xml_ok
Cook_2024,PMC10808703,xml_ok
YousefiNojookambari_2024,PMC10846280,xml_ok
FernndezVzquez_2023,PMC10773864,xml_ok
Bhowmik_2023,PMC10626324,pdf_download_err:HTTPError; xml_ok
Mendes_2023,PMC10651561,xml_ok
ChvezHernndez_2023,PMC10608816,xml_ok
Natsheh_2023,PMC10525453,xml_ok
Lin_2023,PMC10475287,pdf_download_err:HTTPError; xml_ok
Cui_2023,PMC10465187,pdf_download_err:HTTPError; xml_ok
Mumtaz_2023,PMC10410175,pdf_download_err:HTTPError; xml_ok
Venkateswaran_2023,PMC10339816,xml_ok
Mardiana_2023,PMC10345192,xml_ok
Sitthisak_2023,PMC10167329,xml_ok
Zeng_2023,PMC10097947,xml_ok
Peters_2023,PMC10051250,xml_ok
Traglia_2023,PMC10045941,xml_ok
Rajapaksha_2023,PMC10044867,xml_ok
Tiwari_2023,PMC9852675,pdf_download_err:HTTPError; xml_ok
Pourhajibagher_2023,PMC9850556,xml_ok
Panda_2022,PMC9763703,xml_ok
EsmaeiliFardBarzegar_2022,PMC9723426,pdf_download_err:HTTPError; xml_ok
Kumkar_2022,PMC9742364,xml_ok
Wintachai_2022,PMC9695679,xml_ok
Kim_2022,PMC9657202,xml_ok
Zhu_2022,PMC9637306,xml_ok
