DOI,Title,Year,Source title,Authors,Type,Abstract
10.21608/zjps.2018.48351,Detection of quorum sensing activity among biofilm forming Acinetobacter baumannii isolates,2018,Zagazig Journal of Pharmaceutical Sciences,,journal-article,
10.31838/ijpr/2020.sp1.304,Expression of Quorum Sensing signal abaI gene in Acinetobacter baumannii isolates from clinical and environmental samples in Baghdad hospitals,2020,International Journal of Pharmaceutical Research,,journal-article,
10.3389/fmicb.2021.558003,Quorum Sensing Inhibition or Quenching in Acinetobacter baumannii: The Novel Therapeutic Strategies for New Drug Development,2021,Frontiers in Microbiology,"Zhong, Shan",journal-article,"<jats:p><jats:italic>Acinetobacter baumannii</jats:italic> is a Gram-negative opportunistic nosocomial pathogen, which can cause ventilator-related and blood infection in critically ill patients. The resistance of <jats:italic>A. baumannii</jats:italic> clinical isolates to common antimicrobials and their tolerance to desiccation have emerged as a serious problem to public health. In the process of pathogenesis, bacteria release signals, which regulate virulence and pathogenicity-related genes. Such bacteria coordinate their virulent behavior in a cell density-dependent phenomenon called quorum sensing (QS). In contrast, the two main approaches of QS interference, quorum sensing inhibitors (QSIs) and quorum quenching (QQ) enzymes, have been developed to reduce the virulence of bacteria, thus reducing the pressure to produce bacterial drug resistance. Therefore, QSIs or QQ enzymes, which interfere with these processes, might potentially inhibit bacterial QS and ultimately biofilm formation. In this review, we aim to describe the state-of-art in the QS process in <jats:italic>A. baumannii</jats:italic> and elaborate on the use of QSIs or QQ enzymes as antimicrobial drugs in various potential sites of the QS pathway.</jats:p>"
10.54319/jjbs/170210,"Investigation of Quorum Sensing, Biofilm Production, and Detection of Virulence-associated Genes Among Clinical Isolates of Acinetobacter baumannii",2024,Jordan Journal of Biological Sciences,,journal-article,
10.1007/s00203-017-1408-8,Quorum sensing molecules production by nosocomial and soil isolates Acinetobacter baumannii,2017,Archives of Microbiology,"Erdönmez, Demet",journal-article,
10.1128/aac.02161-12,Streptomycin Inhibits Quorum Sensing in Acinetobacter baumannii,2013,Antimicrobial Agents and Chemotherapy,"Saroj, Sunil D.",journal-article,"<jats:title>ABSTRACT</jats:title><jats:p>Streptomycin at subinhibitory concentrations was found to inhibit quorum sensing in<jats:named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus-species"" xlink:type=""simple"">Acinetobacter baumannii</jats:named-content>. Conditioned medium prepared by growth of<jats:named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus-species"" xlink:type=""simple"">A. baumannii</jats:named-content>in the presence of subinhibitory concentrations of streptomycin exhibited reduced activation of two quorum-sensing-regulated genes,<jats:italic>abaI</jats:italic>, encoding an autoinducer synthase, and A1S_0112. The reduced expression of AbaI resulted in greatly decreased levels of 3-OH-C<jats:sub>12</jats:sub>-HSL as confirmed by direct analysis using thin-layer chromatography. The effect on acyl-homoserine lactone (AHL) signal production was specific to streptomycin, as gentamicin and myomycin had no significant effect at subinhibitory levels.</jats:p>"
10.36519/kd.2025.5327,Investigation of Efflux Pump and Quorum Sensing Genes in Acinetobacter baumannii Isolates,2025,Klimik Dergisi/Klimik Journal,"Karadag, Ebru",journal-article,
10.36295/asro.2019.220914,Distribution of quorum sensing genes and typing of clinical Acinetobacter baumannii isolates by ERIC-PCR,2019,Annals of Tropical Medicine and Public Health,"Khudhair, Anfal Mohammed",journal-article,
10.1111/jam.15609,"Ketoprofen, piroxicam and indomethacin-suppressed quorum sensing and virulence factors in Acinetobacter baumannii",2022,Journal of Applied Microbiology,"Elshaer, Soha Lotfy",journal-article,"<jats:title>Abstract</jats:title><jats:sec><jats:title>Aim</jats:title><jats:p>Quorum sensing (QS) inhibition is a promising strategy to suppress bacterial virulence and control infection caused by Gram-negative and Gram-positive bacteria. This study explores the QS inhibiting activity of the non-steroidal anti-inflammatory drugs (NSAIDs) in Acinetobacter baumannii.</jats:p></jats:sec><jats:sec><jats:title>Methods and Results</jats:title><jats:p>Ketoprofen, piroxicam and indomethacin revealed QS inhibition via elimination of violacein production of the reporter strain Chromobacterium violaceum ATCC 12472 without affecting bacterial growth. The minimal inhibitory concentration (MIC) of ketoprofen, piroxicam and indomethacin was determined against A. baumannii strains ATCC 17978, ATCC 19606, A1, A11 and A27 by the microbroth dilution method. The MICs of ketoprofen against tested isolates were 0.7–6.25 mg ml−1, piroxicam MICs were 1.25–2.5 mg ml−1, and indomethacin MICs were 3.12–12.5 mg ml−1. Those compounds significantly inhibited QS-associated virulence factors such as biofilm formation, and surface motility, as well as, significantly increased bacterial tolerance to oxidative stress without affecting bacterial growth. On the molecular level, the three compounds significantly inhibited the transcription of QS regulatory genes abaI/abaR and biofilm-regulated genes cusD and pgaB. Molecular docking analysis revealed the potent binding affinity of the three compounds with AbaI via hydrogen and/or hydrophobic bonds.</jats:p></jats:sec><jats:sec><jats:title>Conclusion</jats:title><jats:p>These results indicate that NSAIDs, ketoprofen, piroxicam and indomethacin, could be potential inhibitors of the QS and could suppress the QS-related virulence factors of A. baumannii.</jats:p></jats:sec><jats:sec><jats:title>Significance and Impact</jats:title><jats:p>Ketoprofen, piroxicam and indomethacin could provide promising implications and strategies for combating the virulence and pathogenesis of A. baumannii.</jats:p></jats:sec>"
10.1097/md.0000000000038341,Erythromycin disrupts Acinetobacter baumannii biofilms through destruction of the quorum sensing system,2024,Medicine,"Dong, Hang",journal-article,"<jats:sec>
            <jats:title>Background:</jats:title>
            <jats:p>This study was conducted to explore the effects of erythromycin on biofilms comprising <jats:italic toggle=""yes"">Acinetobacter baumannii (A baumannii</jats:italic>).</jats:p>
          </jats:sec>
          <jats:sec>
            <jats:title>Methods:</jats:title>
            <jats:p>To clarify the effect of erythromycin on the biofilms of <jats:italic toggle=""yes"">A baumannii</jats:italic>, we collected pure Ab strains isolated and identified from a variety of sample types extracted from patients in the microbiological laboratory of our hospital from April to August 2023, and divided them into an experimental group (treated with erythromycin) and a control group (without erythromycin). The morphology and quantity of <jats:italic toggle=""yes"">A baumannii</jats:italic> biofilm were observed at 24h, 48h, 72h, and 5d post-treatment, respectively, and the expression of quorum sensing (QS) system gene (abaI, abaR) mRNA was detected by fluorescence quantitative PCR.</jats:p>
          </jats:sec>
          <jats:sec>
            <jats:title>Results:</jats:title>
            <jats:p>The results showed that <jats:italic toggle=""yes"">A baumanniis</jats:italic> are prone to form multiple drug-resistant (MDR) bacteria, against which the most commonly used clinical antibiotics are ineffective. Overall, we found that the number of bacteria, the number of bacteria in the biofilm, and the number of biofilms formed gradually increased over time, with a statistical difference (<jats:italic toggle=""yes"">P</jats:italic> &lt; .05). After the addition of erythromycin, significant improvements in biofilm formation were achieved, indicating that erythromycin can destroy <jats:italic toggle=""yes"">A baumannii</jats:italic> biofilms, inhibiting bacterial growth to a certain extent. The expression levels of abaI and abaR gradually increased over time, indicating that the role of the QS system became more apparent over time. Biofilm formation is related to the QS system of <jats:italic toggle=""yes"">A baumanniis</jats:italic>. After erythromycin treatment, abaI and abaR mRNA expression was downregulated in the experimental group.</jats:p>
          </jats:sec>
          <jats:sec>
            <jats:title>Conclusion:</jats:title>
            <jats:p>Erythromycin disrupts <jats:italic toggle=""yes"">A baumannii</jats:italic> biofilms by destroying the quorum sensing system.</jats:p>
          </jats:sec>"
