file,status,has_body,size
Ahmed_2020,ok,no,9360
Alam_2020,ok,yes,92220
Allen_2014,ok,no,8368
Alreshidi_2020,ok,yes,193207
Amin_2019,ok,yes,168819
Arazi_2025,ok,yes,155298
Azimi_2025,ok,yes,59973
Barki_2019,ok,yes,94534
Bazaid_2022,ok,yes,165789
Beasley_2025,ok,yes,130288
Benyamini_2024,ok,yes,157069
Bergonzi_2018,ok,yes,132797
Bhargava_2014,ok,no,8461
Bhowmik_2023,ok,yes,144914
Bi_2019,ok,no,12532
Bi_2020,ok,yes,91879
Blackwell_2015,ok,no,8972
Blackwell_2016,ok,yes,90101
Buttimer_2016,ok,yes,27916
Cardile_2017,ok,yes,137578
Carpenito_2025,ok,yes,115748
CastaedaTamez_2018,ok,yes,114257
Chan_2014,ok,yes,65485
Chang_2014,ok,yes,113685
Charalambous_2022,ok,yes,174820
Chen_2017,ok,yes,145646
Chen_2019,ok,yes,111255
Chow_2013,ok,no,6706
ChvezHernndez_2023,ok,yes,175501
Clemmer_2011,ok,no,9065
Cook_2024,ok,yes,239433
Correa_2024,ok,yes,172347
Cui_2022,ok,yes,142186
Cui_2023,ok,yes,104845
Cui_2025,ok,yes,119875
Cui_2025_2,ok,yes,149174
Deng_2021,ok,yes,165360
Dettweiler_2019,ok,yes,110973
Djahanschiri_2022,ok,yes,367231
Dong_2024,ok,yes,68839
Dou_2017,ok,yes,116458
DudaMadej_2025,ok,yes,206441
Elfaky_2024,ok,yes,130969
Escalante_2022,ok,yes,100965
Escalante_2024,ok,yes,101029
Escalante_2024_2,ok,yes,75025
EsmaeiliFardBarzegar_2022,ok,yes,59092
Essam_2025,ok,yes,154895
FernandezGarcia_2018,ok,yes,134508
FernndezVzquez_2023,ok,yes,141020
Fischer_2020,ok,yes,177298
Gala_2016,ok,yes,76503
Garner_2012,ok,yes,94434
Garner_2013,ok,yes,9164
Garner_2013_2,ok,yes,9860
Gerdt_2017,ok,yes,92464
Ghavanloughajar_2025,ok,yes,128951
Ghosh_2022,ok,yes,211742
GilbertGirard_2020,ok,yes,153649
Godeux_2020,ok,yes,96959
Godeux_2022,ok,yes,170927
Golberg_2022,ok,yes,181985
Gonalves_2020,ok,yes,203716
Gonzales_2024,ok,yes,194488
Guo_2024,ok,yes,132488
Hamidian_2013,ok,yes,48920
Harkova_2024,ok,yes,228123
He_2015,ok,no,10949
Hetta_2021,ok,yes,121925
Hetta_2025,ok,yes,477087
Holt_2016,ok,yes,173185
Huang_2020,ok,yes,56296
Jacobmeyer_2022,ok,yes,221856
Jansen_2018,ok,yes,128726
Jiang_2024_2,ok,yes,157045
Kandi_2015,ok,no,5562
Karlapudi_2018,ok,yes,50465
Khadke_2021,ok,yes,125675
Khamari_2020,ok,no,10220
Kim_2012,ok,no,6782
Kim_2013,ok,no,11316
Kim_2015,ok,no,7258
Kim_2021,ok,yes,112093
Kim_2022,ok,yes,107130
Koong_2021,ok,yes,125851
Kostoulias_2015,ok,no,11827
Krger_2016,ok,yes,252372
Krishnan_2025,ok,yes,103214
Krizova_2011,ok,no,7695
Kumkar_2022,ok,yes,205602
Lazar_2021,ok,yes,309928
Le_2021,ok,yes,42747
Lebreton_2025,ok,yes,169152
Li_2014,ok,no,11019
