filename,pmid,first_author,year,title,journal,doi,pmcid,authors_count,pub_types,has_abstract,open_access
Hetta_2025,41599011,Hetta,2025,Taming Superbugs: Current Progress and Challenges in Combating ESKAPE Pathogens.,"Pathogens (Basel, Switzerland)",10.3390/pathogens15010028,PMC12845504,13,Journal Article; Review,yes,yes
Masoomi_2025,41422868,Masoomi,2025,Salvia abrotanoides leaves and flowers essential oils inhibit the quorum-sensing system of extensively drug-resistant (XDR) Acinetobacter baumannii.,Microbial pathogenesis,10.1016/j.micpath.2025.108256,,5,Journal Article,yes,unknown
Arazi_2025,41420149,Arazi,2025,Genomic and functional characterization of a novel lytic phage vB-AbaM-fThrA with anti-biofilm activity against CR-MDR Acinetobacter baumannii.,BMC microbiology,10.1186/s12866-025-04525-z,PMC12859838,7,Journal Article,yes,yes
Nosair_2025,41390371,Nosair,2025,"Deciphering the efficacy of staphyloxanthin-encapsulated niosomal nanovesicles to attenuate biofilm formation, quorum sensing, and meropenem persistence in Acinetobacter baumannii.",BMC microbiology,10.1186/s12866-025-04507-1,PMC12701606,5,Journal Article,yes,yes
Vinitha_2025,41379337,Vinitha,2025,"Acinetobacter baumannii-rare virulence factors and pathogenesis: the impact of biofilm associated protein (Bap), outer membrane vesicles, and iron acquisition system.",Archives of microbiology,10.1007/s00203-025-04623-6,,2,Journal Article; Review,yes,unknown
deVilliersdelaNoue_2025,41305464,de Villiers de la Noue,2025,Rational Design of a Potent Two-Phage Cocktail Against a Contemporary Acinetobacter baumannii Strain Recovered from a Burned Patient at the Lausanne University Hospital.,Viruses,10.3390/v17111441,PMC12656882,4,Journal Article,yes,yes
Qadir_2025,41218264,Qadir,2025,Antibacterial and antibiofilm activities of bioactive metabolites from Salmonella typhi against multidrug-resistant pathogens.,Bioorganic chemistry,10.1016/j.bioorg.2025.109226,,3,"Journal Article; Research Support, Non-U.S. Gov't",yes,unknown
VeraJauregui_2025,41148653,Vera-Jauregui,2025,A Newly Discovered Obolenskvirus Phage with Sustained Lytic Activity Against Multidrug-Resistant Acinetobacter baumannii.,"Antibiotics (Basel, Switzerland)",10.3390/antibiotics14100961,PMC12561047,8,Journal Article,yes,yes
Wei_2025,41102536,Wei,2025,Harnessing Plant Essential Oils to Combat Acinetobacter baumannii: Research Progress in Antimicrobial Mechanisms and Therapeutic Prospects.,Current microbiology,10.1007/s00284-025-04533-2,,10,Journal Article; Review,yes,unknown
DzibBaak_2025,41084179,Dzib-Baak,2025,Mechanistic Insights Into the Effect of the Essential Oil of Ambrosia hispida Pursh. Against Multidrug-Resistant Clinical Isolates of Acinetobacter baumannii.,Chemistry & biodiversity,10.1002/cbdv.202502050,,8,Journal Article,yes,unknown
Santajit_2025,41064837,Santajit,2025,Phytochemical inhibition of quorum sensing and biofilm formation by Paederia foetida Linn. against multidrug-resistant Acinetobacter baumannii: An integrated in vitro and in silico investigation.,Veterinary world,10.14202/vetworld.2025.2181-2193,PMC12501579,8,Journal Article,yes,yes
Nghiem_2025,40961326,Nghiem,2025,"Dominance of high-risk clones ST2 and ST571 and the diversity of resistance islands in clinical Acinetobacter baumannii isolates from Hanoi, Vietnam.",Microbial genomics,10.1099/mgen.0.001500,PMC12444785,6,Journal Article,yes,yes
Elshamy_2025,40916327,Elshamy,2025,Genomic analysis and preclinical evaluation of two hydrogel-formulated novel virulent phages isolated against a carbapenem-resistant Acinetobacter baumannii.,Virology,10.1016/j.virol.2025.110676,,16,Journal Article,yes,unknown
Sorenson_2025,40871320,Sorenson,2025,Biofilm Formation and the Role of Efflux Pumps in ESKAPE Pathogens.,Microorganisms,10.3390/microorganisms13081816,PMC12388334,3,Journal Article; Review,yes,yes
Essam_2025,40739242,Essam,2025,"Isolation and characterization of phages ΦZC2 and ΦZC3 against carbapenem-resistant Acinetobacter baumannii, and efficacy of ΦZC3 on A549 cells.",Virology journal,10.1186/s12985-025-02885-6,PMC12308983,8,"Journal Article; Research Support, Non-U.S. Gov't",yes,yes
DudaMadej_2025,40732238,Duda-Madej,2025,Exploring the Role of Berberine as a Molecular Disruptor in Antimicrobial Strategies.,"Pharmaceuticals (Basel, Switzerland)",10.3390/ph18070947,PMC12299710,4,Journal Article; Review,yes,yes
MajidiFard_2025,40718444,Majidi Fard,2025,Investigation of Peppermint (Mentha piperita) Extract on the Inhibition of Biofilm Formation by Acinetobacter baumannii Strains Isolated from Clinical Samples.,Iranian journal of pharmaceutical research : IJPR,10.5812/ijpr-160772,PMC12297010,5,Journal Article,yes,yes
Ghavanloughajar_2025,40705813,Ghavanloughajar,2025,Human whole blood influences the expression of Acinetobacter baumannii genes related to translation and siderophore production.,PloS one,10.1371/journal.pone.0326330,PMC12289009,4,Journal Article,yes,yes
Wiradiputra_2025,40686839,Wiradiputra,2025,Genomic insights into biofilm-associated virulence in extensively drug-resistant Acinetobacter baumannii.,Current research in microbial sciences,10.1016/j.crmicr.2025.100434,PMC12272471,5,Journal Article,yes,yes
Cui_2025,40660701,Cui,2025,Carnosol attenuates Acinetobacter baumannii virulence by interfering with indole-mediated quorum sensing.,Virulence,10.1080/21505594.2025.2530169,PMC12269709,8,"Journal Article; Research Support, Non-U.S. Gov't",yes,yes
Lebreton_2025,40598567,Lebreton,2025,High genetic relatedness between multidrug resistant bacteria before and after the 2022 invasion of Ukraine.,Genome medicine,10.1186/s13073-025-01500-1,PMC12220160,14,"Journal Article; Research Support, Non-U.S. Gov't",yes,yes
Azimi_2025,40529473,Azimi,2025,Virulent genes related to the synthesis of community interaction factors among clinical samples of multidrug-resistant Acinetobacter baumannii in Iran.,GMS hygiene and infection control,10.3205/dgkh000552,PMC12172066,9,Journal Article,yes,yes
YuCheng_2025,40513689,Yu Cheng,2025,Storage stability prediction of spray dried Anti-Acinetobacter baumannii phage and phage cocktail powders.,International journal of pharmaceutics,10.1016/j.ijpharm.2025.125842,,5,Journal Article,yes,unknown
Cui_2025_2,40510767,Cui,2025,Signaling in Acinetobacter baumannii: Quorum sensing and nucleotide second messengers.,Computational and structural biotechnology journal,10.1016/j.csbj.2025.05.032,PMC12162036,4,Journal Article; Review,yes,yes
Chanchaithong_2025,40490126,Chanchaithong,2025,Localization of AbaR4-type genomic islands and multidrug resistance plasmids in multiple Acinetobacter baumannii clones and Acinetobacter pittii from infections of dogs and cats.,"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases",10.1016/j.meegid.2025.105782,,7,"Journal Article; Research Support, Non-U.S. Gov't",yes,unknown
Carpenito_2025,40426583,Carpenito,2025,LC-MS/MS Determination of Quorum Sensing Molecules in Plasma from Burn Patients with Septic Shock Sustained by Acinetobacter Baumannii.,"Antibiotics (Basel, Switzerland)",10.3390/antibiotics14050517,PMC12108150,11,Journal Article,yes,yes
