doi,pmid,pmcid,year,authors,title,journal,sources,scopus_eid,wos_ut,embase_pui,openalex_id,filename
10.3390/pathogens15010028,41599011,PMC12845504,2025,Hetta,Taming Superbugs: Current Progress and Challenges in Combating ESKAPE Pathogens.,"Pathogens (Basel, Switzerland)",PubMed,,,,,Hetta_2025
10.1016/j.micpath.2025.108256,41422868,,2025,Masoomi,Salvia abrotanoides leaves and flowers essential oils inhibit the quorum-sensing system of extensively drug-resistant (XDR) Acinetobacter baumannii.,Microbial pathogenesis,OpenAlex; PubMed,,,,https://openalex.org/W4417516125,Masoomi_2025
10.1186/s12866-025-04525-z,41420149,PMC12859838,2025,Arazi,Genomic and functional characterization of a novel lytic phage vB-AbaM-fThrA with anti-biofilm activity against CR-MDR Acinetobacter baumannii.,BMC microbiology,PubMed,,,,,Arazi_2025
10.1186/s12866-025-04507-1,41390371,PMC12701606,2025,Nosair,"Deciphering the efficacy of staphyloxanthin-encapsulated niosomal nanovesicles to attenuate biofilm formation, quorum sensing, and meropenem persistence in Acinetobacter baumannii.",BMC microbiology,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W4417296209,Nosair_2025
10.1007/s00203-025-04623-6,41379337,,2025,Vinitha,"Acinetobacter baumannii-rare virulence factors and pathogenesis: the impact of biofilm associated protein (Bap), outer membrane vesicles, and iron acquisition system.",Archives of microbiology,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W4417216743,Vinitha_2025
10.3390/v17111441,41305464,PMC12656882,2025,de Villiers de la Noue,Rational Design of a Potent Two-Phage Cocktail Against a Contemporary Acinetobacter baumannii Strain Recovered from a Burned Patient at the Lausanne University Hospital.,Viruses,PubMed,,,,,deVilliersdelaNoue_2025
10.1016/j.bioorg.2025.109226,41218264,,2025,Qadir,Antibacterial and antibiofilm activities of bioactive metabolites from Salmonella typhi against multidrug-resistant pathogens.,Bioorganic chemistry,OpenAlex; PubMed,,,,https://openalex.org/W4416041439,Qadir_2025
10.3390/antibiotics14100961,41148653,PMC12561047,2025,Vera-Jauregui,A Newly Discovered Obolenskvirus Phage with Sustained Lytic Activity Against Multidrug-Resistant Acinetobacter baumannii.,"Antibiotics (Basel, Switzerland)",PubMed,,,,,VeraJauregui_2025
10.1007/s00284-025-04533-2,41102536,,2025,Wei,Harnessing Plant Essential Oils to Combat Acinetobacter baumannii: Research Progress in Antimicrobial Mechanisms and Therapeutic Prospects.,Current microbiology,OpenAlex; PubMed,,,,https://openalex.org/W4415259978,Wei_2025
10.1002/cbdv.202502050,41084179,,2025,Dzib-Baak,Mechanistic Insights Into the Effect of the Essential Oil of Ambrosia hispida Pursh. Against Multidrug-Resistant Clinical Isolates of Acinetobacter baumannii.,Chemistry & biodiversity,OpenAlex; PubMed,,,,https://openalex.org/W4415140847,DzibBaak_2025
10.14202/vetworld.2025.2181-2193,41064837,PMC12501579,2025,Santajit,Phytochemical inhibition of quorum sensing and biofilm formation by Paederia foetida Linn. against multidrug-resistant Acinetobacter baumannii: An integrated in vitro and in silico investigation.,Veterinary world,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W4413256101,Santajit_2025
10.1099/mgen.0.001500,40961326,PMC12444785,2025,Nghiem,"Dominance of high-risk clones ST2 and ST571 and the diversity of resistance islands in clinical Acinetobacter baumannii isolates from Hanoi, Vietnam.",Microbial genomics,OpenAlex; PubMed,,,,https://openalex.org/W4414285249,Nghiem_2025
10.1016/j.virol.2025.110676,40916327,,2025,Elshamy,Genomic analysis and preclinical evaluation of two hydrogel-formulated novel virulent phages isolated against a carbapenem-resistant Acinetobacter baumannii.,Virology,PubMed,,,,,Elshamy_2025
10.3390/microorganisms13081816,40871320,PMC12388334,2025,Sorenson,Biofilm Formation and the Role of Efflux Pumps in ESKAPE Pathogens.,Microorganisms,PubMed,,,,,Sorenson_2025
10.1186/s12985-025-02885-6,40739242,PMC12308983,2025,Essam,"Isolation and characterization of phages ΦZC2 and ΦZC3 against carbapenem-resistant Acinetobacter baumannii, and efficacy of ΦZC3 on A549 cells.",Virology journal,PubMed,,,,,Essam_2025
10.3390/ph18070947,40732238,PMC12299710,2025,Duda-Madej,Exploring the Role of Berberine as a Molecular Disruptor in Antimicrobial Strategies.,"Pharmaceuticals (Basel, Switzerland)",PubMed,,,,,DudaMadej_2025
10.5812/ijpr-160772,40718444,PMC12297010,2025,Majidi Fard,Investigation of Peppermint (Mentha piperita) Extract on the Inhibition of Biofilm Formation by Acinetobacter baumannii Strains Isolated from Clinical Samples.,Iranian journal of pharmaceutical research : IJPR,OpenAlex; PubMed,,,,https://openalex.org/W4411893305,MajidiFard_2025
10.1371/journal.pone.0326330,40705813,PMC12289009,2025,Ghavanloughajar,Human whole blood influences the expression of Acinetobacter baumannii genes related to translation and siderophore production.,PloS one,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W4412625599,Ghavanloughajar_2025
10.1016/j.crmicr.2025.100434,40686839,PMC12272471,2025,Wiradiputra,Genomic insights into biofilm-associated virulence in extensively drug-resistant Acinetobacter baumannii.,Current research in microbial sciences,OpenAlex; PubMed,,,,https://openalex.org/W4411965815,Wiradiputra_2025
10.1080/21505594.2025.2530169,40660701,PMC12269709,2025,Cui,Carnosol attenuates Acinetobacter baumannii virulence by interfering with indole-mediated quorum sensing.,Virulence,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W4412416194,Cui_2025
10.1186/s13073-025-01500-1,40598567,PMC12220160,2025,Lebreton,High genetic relatedness between multidrug resistant bacteria before and after the 2022 invasion of Ukraine.,Genome medicine,OpenAlex; PubMed,,,,https://openalex.org/W4411886983,Lebreton_2025
10.3205/dgkh000552,40529473,PMC12172066,2025,Azimi,Virulent genes related to the synthesis of community interaction factors among clinical samples of multidrug-resistant Acinetobacter baumannii in Iran.,GMS hygiene and infection control,PubMed,,,,,Azimi_2025
10.1016/j.ijpharm.2025.125842,40513689,,2025,Yu Cheng,Storage stability prediction of spray dried Anti-Acinetobacter baumannii phage and phage cocktail powders.,International journal of pharmaceutics,PubMed,,,,,YuCheng_2025
10.1016/j.csbj.2025.05.032,40510767,PMC12162036,2025,Cui,Signaling in Acinetobacter baumannii: Quorum sensing and nucleotide second messengers.,Computational and structural biotechnology journal,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W4410593922,Cui_2025_2
10.1016/j.meegid.2025.105782,40490126,,2025,Chanchaithong,Localization of AbaR4-type genomic islands and multidrug resistance plasmids in multiple Acinetobacter baumannii clones and Acinetobacter pittii from infections of dogs and cats.,"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases",OpenAlex; PubMed,,,,https://openalex.org/W4411114667,Chanchaithong_2025
10.3390/antibiotics14050517,40426583,PMC12108150,2025,Carpenito,LC-MS/MS Determination of Quorum Sensing Molecules in Plasma from Burn Patients with Septic Shock Sustained by Acinetobacter Baumannii.,"Antibiotics (Basel, Switzerland)",Crossref; OpenAlex; PubMed,,,,https://openalex.org/W4410444918,Carpenito_2025
10.3390/cells14100744,40422247,PMC12109783,2025,Wheeler,MvfR Shapes Pseudomonas aeruginosa Interactions in Polymicrobial Contexts: Implications for Targeted Quorum-Sensing Inhibition.,Cells,PubMed,,,,,Wheeler_2025
10.1080/07391102.2025.2507812,40420564,,2025,Alagesan,Targeting TetR-family transcription regulators for combating tetracycline resistance in resilient Acinetobacter baumannii: in silico identification of potent inhibitors.,Journal of biomolecular structure & dynamics,PubMed,,,,,Alagesan_2025
10.1128/aac.01858-24,40407309,PMC12217454,2025,Xie,"Contribution of RND superfamily multidrug efflux pumps AdeABC, AdeFGH, and AdeIJK to antimicrobial resistance and virulence factors in multidrug-resistant Acinetobacter baumannii AYE.",Antimicrobial agents and chemotherapy,OpenAlex; PubMed,,,,https://openalex.org/W4410626735,Xie_2025
10.7754/Clin.Lab.2024.240926,40387740,,2025,Tolah,Genome of a Carbapenem Resistant Acinetobacter baumannii Isolate of a new Sequence Type ST1724 from Saudi Arabia.,Clinical laboratory,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W4410496666,Tolah_2025
10.1002/ddr.70101,40384051,,2025,Khafagy,"Repurposing Nitroimidazoles: A New Frontier in Combatting Bacterial Virulence and Quorum Sensing via In Silico, In Vitro, and In Vivo Insights.",Drug development research,OpenAlex; PubMed,,,,https://openalex.org/W4410479311,Khafagy_2025
10.1128/spectrum.03388-24,40231681,PMC12073863,2025,Li,Indole derivatives display antimicrobial and antibiofilm effects against extensively drug-resistant Acinetobacter baumannii.,Microbiology spectrum,OpenAlex; PubMed,,,,https://openalex.org/W4409458967,Li_2025
10.1038/s41429-025-00816-9,40164737,,2025,Jiang,Terramide A: a novel ironophore targeting Acinetobacter baumannii with mechanistic insights into bacterial iron deprivation.,The Journal of antibiotics,PubMed,,,,,Jiang_2025
10.1099/jmm.0.001980,40100248,PMC11920071,2025,Krishnan,Fractional inhibitory concentration of bio-actives from agricultural waste disassembles biofilms and quenches virulence of nosocomial pathogens.,Journal of medical microbiology,PubMed,,,,,Krishnan_2025
10.1080/1040841X.2025.2473332,40098357,,2025,Chong,Insights into biofilm-mediated mechanisms driving last-resort antibiotic resistance in clinical ESKAPE pathogens.,Critical reviews in microbiology,PubMed,,,,,Chong_2025
10.1016/j.micpath.2025.107488,40090498,,2025,İşlek,Isolation and characterization a novel Acinetobacter bacteriophage with activity against several multidrug-resistant Gram-negative bacteria.,Microbial pathogenesis,PubMed,,,,,lek_2025
10.1186/s12866-025-03854-3,40057696,PMC11889872,2025,Su,Characterization of a novel lytic phage vB_AbaM_AB4P2 encoding depolymerase and its application in eliminating biofilms formed by Acinetobacter baumannii.,BMC microbiology,PubMed,,,,,Su_2025
10.1016/j.compbiolchem.2025.108413,40056709,,2025,Aruwa,Modulating Acinetobacter baumannii BfmR (RstA) drug target: Daniellia oliveri compounds as RstA quorum sensing inhibitors.,Computational biology and chemistry,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W4408076859,Aruwa_2025
10.1016/j.compbiomed.2025.109828,39938338,,2025,Bell I,Targeting the quorum sensing network in Acinetobacter baumannii: A dual target structure-based approach for the development of novel antimicrobials.,Computers in biology and medicine,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W4407356948,BellI_2025
10.1101/2025.01.17.633658,39896648,PMC11785035,2025,Beasley,Breaking the Phalanx: Overcoming Bacterial Drug Resistance with Quorum Sensing Inhibitors that Enhance Therapeutic Activity of Antibiotics.,bioRxiv : the preprint server for biology,PubMed,,,,,Beasley_2025
10.1186/s12941-024-00766-4,39806310,PMC11731405,2025,Zhang,Understanding the clinical and molecular epidemiological characteristics of carbapenem-resistant Acinetobacter baumannii infections within intensive care units of three teaching hospitals.,Annals of clinical microbiology and antimicrobials,OpenAlex; PubMed,,,,https://openalex.org/W4406322184,Zhang_2025
10.1186/s12866-024-03727-1,39799303,PMC11724464,2025,Sharma,Comparative study of phenotypic and genotypic expression of virulence factors in colonizing and pathogenic carbapenem resistant Acinetobacter baumannii (CRAB).,BMC microbiology,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W4406272473,Sharma_2025
10.1016/j.micpath.2025.107283,39778756,,2025,Zehra,"Relationship of biofilm formation with antibiotic resistance, virulence determinants and genetic diversity in clinically isolated Acinetobacter baumannii strains in Karachi, Pakistan.",Microbial pathogenesis,OpenAlex; PubMed,,,,https://openalex.org/W4406133400,Zehra_2025
10.2147/IDR.S491858,39759767,PMC11699857,2024,Liu,Molecular Epidemiology and Genetic Characterization of Carbapenem-Resistant Acinetobacter baumannii Isolates from the ICU of a Tertiary Hospital in East China.,Infection and drug resistance,OpenAlex; PubMed,,,,https://openalex.org/W4405953256,Liu_2024
10.1007/s10096-024-05009-0,39739165,,2024,Pathoor,3-Hydroxybenzoic acid inhibits the virulence attributes and disrupts biofilm production in clinical isolates of Acinetobacter baumannii.,European journal of clinical microbiology & infectious diseases : official publication of the European Society of Clinical Microbiology,PubMed,,,,,Pathoor_2024
10.7717/peerj.18722,39735565,PMC11674141,2024,Rothong,Antimicrobial activity and synergistic effect of phage-encoded antimicrobial peptides with colistin and outer membrane permeabilizing agents against Acinetobacter baumannii.,PeerJ,PubMed,,,,,Rothong_2024
10.1016/j.micpath.2024.107118,39551112,,2024,Oh,Comparative genomic and phenotypic analysis of low- and high-virulent Acinetobacter baumannii strains: Insights into antimicrobial resistance and virulence potential.,Microbial pathogenesis,OpenAlex; PubMed,,,,https://openalex.org/W4404413283,Oh_2024
10.1007/s11030-024-11041-1,39543024,,2024,Swain,Transcriptome and interactome-based analyses to unravel crucial proteins and pathways involved in Acinetobacter baumannii pathogenesis.,Molecular diversity,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W4404366173,Swain_2024
10.1016/j.ijantimicag.2024.107358,39414173,,2024,Chen,Emergence of extensively-drug-resistant hypervirulent Acinetobacter baumannii isolated from patients with bacteraemia: bacterial phenotype and virulence analysis.,International journal of antimicrobial agents,OpenAlex; PubMed,,,,https://openalex.org/W4403427547,Chen_2024
10.1007/s00203-024-04142-w,39375235,,2024,Subbarayudu,Impact of acidic and alkaline conditions on Staphylococcus aureus and Acinetobacter baumannii interactions and their biofilms.,Archives of microbiology,OpenAlex; PubMed,,,,https://openalex.org/W4403208601,Subbarayudu_2024
10.3390/ijms25189780,39337268,PMC11432228,2024,Benyamini,The Comparative Characterization of a Hypervirulent Acinetobacter baumannii Bacteremia Clinical Isolate Reveals a Novel Mechanism of Pathogenesis.,International journal of molecular sciences,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W4402416684,Benyamini_2024
10.3390/antibiotics13090807,39334982,PMC11428969,2024,Yao,"Comparison of Hypervirulent and Non-Hypervirulent Carbapenem-Resistant Acinetobacter baumannii Isolated from Bloodstream Infections: Mortality, Potential Virulence Factors, and Combination Therapy In Vitro.","Antibiotics (Basel, Switzerland)",OpenAlex; PubMed,,,,https://openalex.org/W4401886699,Yao_2024
10.1016/j.micpath.2024.106937,39293727,,2024,Ribeiro,Eugenol as a promising antibiofilm and anti-quorum sensing agent: A systematic review.,Microbial pathogenesis,OpenAlex; PubMed,,,,https://openalex.org/W4402661413,Ribeiro_2024
10.1073/pnas.2409843121,39288183,PMC11441513,2024,Tuffet,Manipulation of natural transformation by AbaR-type islands promotes fixation of antibiotic resistance in Acinetobacter baumannii.,Proceedings of the National Academy of Sciences of the United States of America,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W4402574154,Tuffet_2024
10.1038/s41598-024-72740-1,39277662,PMC11401864,2024,Pumirat,"Impact of AbaI mutation on virulence, biofilm development, and antibiotic susceptibility in Acinetobacter baumannii.",Scientific reports,Crossref; OpenAlex; PubMed,,,,https://openalex.org/W4402536021,Pumirat_2024
10.1016/j.micpath.2024.106929,39270758,,2024,Chen,"Clinical, phenotypic characterization and genomic analysis of the mucoid Acinetobacter baumannii from a teaching hospital.",Microbial pathogenesis,OpenAlex; PubMed,,,,https://openalex.org/W4402453387,Chen_2024_2
