filename,doi,method,status,info
Masoomi_2025,10.1016/j.micpath.2025.108256,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Vinitha_2025,10.1007/s00203-025-04623-6,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Qadir_2025,10.1016/j.bioorg.2025.109226,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Wei_2025,10.1007/s00284-025-04533-2,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
DzibBaak_2025,10.1002/cbdv.202502050,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Elshamy_2025,10.1016/j.virol.2025.110676,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
YuCheng_2025,10.1016/j.ijpharm.2025.125842,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Chanchaithong_2025,10.1016/j.meegid.2025.105782,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Alagesan_2025,10.1080/07391102.2025.2507812,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Tolah_2025,10.7754/Clin.Lab.2024.240926,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Khafagy_2025,10.1002/ddr.70101,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Jiang_2025,10.1038/s41429-025-00816-9,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Chong_2025,10.1080/1040841X.2025.2473332,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
lek_2025,10.1016/j.micpath.2025.107488,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Aruwa_2025,10.1016/j.compbiolchem.2025.108413,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
BellI_2025,10.1016/j.compbiomed.2025.109828,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Zehra_2025,10.1016/j.micpath.2025.107283,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Pathoor_2024,10.1007/s10096-024-05009-0,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Oh_2024,10.1016/j.micpath.2024.107118,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Swain_2024,10.1007/s11030-024-11041-1,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Chen_2024,10.1016/j.ijantimicag.2024.107358,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Subbarayudu_2024,10.1007/s00203-024-04142-w,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Ribeiro_2024,10.1016/j.micpath.2024.106937,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Chen_2024_2,10.1016/j.micpath.2024.106929,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Jiang_2024,10.1016/j.ijbiomac.2024.134568,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
deSouza_2024,10.1093/lambio/ovae061,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Firdose_2024,10.1016/j.micpath.2024.106743,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Koshak_2024,10.1007/s10123-024-00532-8,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Rajangam_2024,10.2217/fmb-2023-0263,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Huidrom_2024,10.1007/s00284-024-03656-2,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Jha_2024,10.1099/jmm.0.001813,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Tan_2024,10.1007/s00705-024-05986-9,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Erol_2024,10.1002/cbf.3966,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
NaseefPathoor_2024,10.1111/apm.13399,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
He_2024,10.1016/j.watres.2024.121162,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Strateva_2024,10.1556/030.2024.02201,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Koshak_2023,10.1016/j.jep.2023.117611,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Mohamad_2023,10.14715/cmb/2023.69.12.31,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Chu_2023,10.1016/j.intimp.2023.111311,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Mukhopadhyay_2023,10.1039/d3bm01383a,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Ko_2023,10.1016/j.micpath.2023.106434,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Ghanipour_2023,10.1007/s00726-023-03346-6,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Acharya_2023,10.1007/s00203-023-03710-w,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
Gmez_2023,10.1016/j.ejmech.2023.115819,both_failed,fail,unpaywall:unpaywall_err:HTTPError | epmc:epmc_full_err:HTTPError
