filename,doi,is_oa,oa_status,tried_urls,status
Masoomi_2025,10.1016/j.micpath.2025.108256,False,closed,,no_pdf_url
Vinitha_2025,10.1007/s00203-025-04623-6,False,closed,,no_pdf_url
Qadir_2025,10.1016/j.bioorg.2025.109226,False,closed,,no_pdf_url
Wei_2025,10.1007/s00284-025-04533-2,False,closed,,no_pdf_url
DzibBaak_2025,10.1002/cbdv.202502050,False,closed,,no_pdf_url
Elshamy_2025,10.1016/j.virol.2025.110676,False,closed,,no_pdf_url
YuCheng_2025,10.1016/j.ijpharm.2025.125842,False,closed,,no_pdf_url
Chanchaithong_2025,10.1016/j.meegid.2025.105782,True,gold,,no_pdf_url
Alagesan_2025,10.1080/07391102.2025.2507812,True,green,,no_pdf_url
Tolah_2025,10.7754/Clin.Lab.2024.240926,False,closed,,no_pdf_url
Khafagy_2025,10.1002/ddr.70101,False,closed,,no_pdf_url
Jiang_2025,10.1038/s41429-025-00816-9,False,closed,,no_pdf_url
Chong_2025,10.1080/1040841X.2025.2473332,False,closed,,no_pdf_url
lek_2025,10.1016/j.micpath.2025.107488,False,closed,,no_pdf_url
Aruwa_2025,10.1016/j.compbiolchem.2025.108413,True,hybrid,,no_pdf_url
BellI_2025,10.1016/j.compbiomed.2025.109828,False,closed,,no_pdf_url
Zehra_2025,10.1016/j.micpath.2025.107283,False,closed,,no_pdf_url
Pathoor_2024,10.1007/s10096-024-05009-0,False,closed,,no_pdf_url
Oh_2024,10.1016/j.micpath.2024.107118,True,hybrid,,no_pdf_url
Swain_2024,10.1007/s11030-024-11041-1,False,closed,,no_pdf_url
Chen_2024,10.1016/j.ijantimicag.2024.107358,True,hybrid,,no_pdf_url
Subbarayudu_2024,10.1007/s00203-024-04142-w,False,closed,,no_pdf_url
Ribeiro_2024,10.1016/j.micpath.2024.106937,False,closed,,no_pdf_url
Chen_2024_2,10.1016/j.micpath.2024.106929,True,hybrid,,no_pdf_url
Jiang_2024,10.1016/j.ijbiomac.2024.134568,False,closed,,no_pdf_url
deSouza_2024,10.1093/lambio/ovae061,False,closed,,no_pdf_url
Firdose_2024,10.1016/j.micpath.2024.106743,False,closed,,no_pdf_url
Koshak_2024,10.1007/s10123-024-00532-8,False,closed,,no_pdf_url
Rajangam_2024,10.2217/fmb-2023-0263,True,green,best_oa:https://pmc.ncbi.nlm.nih.gov/articles/PMC11290764/pdf/IFMB_19_2339715.pdf,all_failed
Huidrom_2024,10.1007/s00284-024-03656-2,False,closed,,no_pdf_url
Jha_2024,10.1099/jmm.0.001813,False,closed,,no_pdf_url
Tan_2024,10.1007/s00705-024-05986-9,False,closed,,no_pdf_url
Erol_2024,10.1002/cbf.3966,False,closed,,no_pdf_url
NaseefPathoor_2024,10.1111/apm.13399,False,closed,,no_pdf_url
He_2024,10.1016/j.watres.2024.121162,False,closed,,no_pdf_url
Strateva_2024,10.1556/030.2024.02201,False,closed,,no_pdf_url
Koshak_2023,10.1016/j.jep.2023.117611,False,closed,,no_pdf_url
Mohamad_2023,10.14715/cmb/2023.69.12.31,True,hybrid,best_oa:https://cellmolbiol.org/index.php/CMB/article/download/5053/2800,pdf_ok:best_oa:ok:460124
Chu_2023,10.1016/j.intimp.2023.111311,False,closed,,no_pdf_url
