filename,doi,status,notes
Masoomi_2025,10.1016/j.micpath.2025.108256,closed_access,closed
Vinitha_2025,10.1007/s00203-025-04623-6,closed_access,closed
Qadir_2025,10.1016/j.bioorg.2025.109226,closed_access,closed
Wei_2025,10.1007/s00284-025-04533-2,closed_access,closed
DzibBaak_2025,10.1002/cbdv.202502050,closed_access,closed
Elshamy_2025,10.1016/j.virol.2025.110676,closed_access,closed
YuCheng_2025,10.1016/j.ijpharm.2025.125842,closed_access,closed
Chanchaithong_2025,10.1016/j.meegid.2025.105782,all_failed,Infection Genetics and Evolution_landing->landing_html:0_pdfs | PubMed_landing->landing_html:0_pdfs
Alagesan_2025,10.1080/07391102.2025.2507812,all_failed,Journal of Biomolecular Structure and Dynamics_landing->landing_err:HTTPError | PubMed_landing->landing_html:0_pdfs
Tolah_2025,10.7754/Clin.Lab.2024.240926,closed_access,closed
Khafagy_2025,10.1002/ddr.70101,closed_access,closed
Jiang_2025,10.1038/s41429-025-00816-9,closed_access,closed
Chong_2025,10.1080/1040841X.2025.2473332,closed_access,closed
lek_2025,10.1016/j.micpath.2025.107488,closed_access,closed
Aruwa_2025,10.1016/j.compbiolchem.2025.108413,all_failed,Computational Biology and Chemistry_landing->landing_html:0_pdfs | PubMed_landing->landing_html:0_pdfs
BellI_2025,10.1016/j.compbiomed.2025.109828,closed_access,closed
Zehra_2025,10.1016/j.micpath.2025.107283,closed_access,closed
Pathoor_2024,10.1007/s10096-024-05009-0,closed_access,closed
Oh_2024,10.1016/j.micpath.2024.107118,all_failed,Microbial Pathogenesis_landing->landing_html:0_pdfs | PubMed_landing->landing_html:0_pdfs
Swain_2024,10.1007/s11030-024-11041-1,closed_access,closed
Chen_2024,10.1016/j.ijantimicag.2024.107358,all_failed,International Journal of Antimicrobial Agents_landing->landing_html:0_pdfs | PubMed_landing->landing_html:0_pdfs
Subbarayudu_2024,10.1007/s00203-024-04142-w,closed_access,closed
Ribeiro_2024,10.1016/j.micpath.2024.106937,closed_access,closed
Chen_2024_2,10.1016/j.micpath.2024.106929,all_failed,Microbial Pathogenesis_landing->landing_html:0_pdfs | PubMed_landing->landing_html:0_pdfs
Jiang_2024,10.1016/j.ijbiomac.2024.134568,closed_access,closed
deSouza_2024,10.1093/lambio/ovae061,closed_access,closed
Firdose_2024,10.1016/j.micpath.2024.106743,closed_access,closed
Koshak_2024,10.1007/s10123-024-00532-8,closed_access,closed
Rajangam_2024,10.2217/fmb-2023-0263,all_failed,best_oa_pdf->too_small:1816 | Future Microbiology_landing->landing_err:HTTPError | PubMed_landing->landing_html:0_pdfs | PubMed Central_pdf->too_small:1817
Huidrom_2024,10.1007/s00284-024-03656-2,closed_access,closed
Jha_2024,10.1099/jmm.0.001813,closed_access,closed
Tan_2024,10.1007/s00705-024-05986-9,closed_access,closed
Erol_2024,10.1002/cbf.3966,closed_access,closed
NaseefPathoor_2024,10.1111/apm.13399,closed_access,closed
He_2024,10.1016/j.watres.2024.121162,closed_access,closed
Strateva_2024,10.1556/030.2024.02201,closed_access,closed
Koshak_2023,10.1016/j.jep.2023.117611,closed_access,closed
Chu_2023,10.1016/j.intimp.2023.111311,closed_access,closed
Ko_2023,10.1016/j.micpath.2023.106434,closed_access,closed
Ghanipour_2023,10.1007/s00726-023-03346-6,closed_access,closed
Acharya_2023,10.1007/s00203-023-03710-w,closed_access,closed
Mathur_2023,10.1016/j.micpath.2023.106307,closed_access,closed
Babaeekhou_2023,10.1007/s00284-023-03356-3,closed_access,closed
Mukhopadhyay_2023_2,10.1016/j.ijantimicag.2023.106951,closed_access,closed
Khoshbakht_2023,10.1016/j.micpath.2023.106264,closed_access,closed
Memariani_2023,10.1007/s11274-023-03545-z,closed_access,closed
Li_2023,10.1093/jambio/lxac023,all_failed,best_oa_pdf->err:HTTPError:HTTP Error 403: Forbidden | Journal of Applied Microbiology_pdf->err:HTTPError:HTTP Error 403: Forbidden | PubMed_landing->landing_html:0_pdfs
Jia_2022,10.1016/j.bmc.2022.117095,closed_access,closed
Laliany_2022,10.1007/s00203-022-03308-8,closed_access,closed
Siddique_2022,10.1080/03639045.2022.2132260,closed_access,closed
Jha_2022,10.1007/s11030-022-10533-2,closed_access,closed
Wang_2022,10.1016/j.jep.2022.115602,closed_access,closed
Ghalavand_2022,10.1007/s00284-022-02976-5,closed_access,closed
Kashyap_2022,10.1093/femspd/ftac029,closed_access,closed
Abbaszadeh_2021,10.3897/folmed.63.e56566,pdf_ok,Folia Medica_landing->landing_html:1_pdfs |   pdf:liamedica.bg/article/56566/download/pdf/->ok:1255193
Elshaer_2022,10.1111/jam.15609,closed_access,closed
Law_2022,10.1016/j.micres.2022.127032,closed_access,closed
Jha_2022_2,10.1016/j.jmgm.2022.108168,closed_access,closed
Vogel_2022,10.1016/j.micinf.2022.104951,all_failed,Microbes and Infection_landing->landing_html:0_pdfs | PubMed_landing->landing_html:0_pdfs | University of Groningen research database (University of Groningen / Centre for Information Technology)_landing->landing_html:1_pdfs |   pdf:983074/1_s2.0_S1286457922000211_main.pdf->err:HTTPError:HTTP Error 403: Forbidden | University of Groningen research database (University of Groningen / Centre for Inf
